Sum of actual_lead_time_days,Sum of delay_days,Sum of base_lead_time_days,delivery_status,delay_days (bins),destination_city,disruption_event,Sum of geopolitical_risk_index,Sum of inflation_rate_pct,Sum of is_delayed,Sum of lead_time_variance_days,mitigation_action_taken,Sum of on_time_flag,order_date,Sum of order_weight_kg,order_id,origin_city,product_category,risk_band,Sum of risk_bucket,Sum of risk_score,route_type,Sum of scheduled_lead_time_days,Sum of shipping_cost_usd,transportation_mode,Sum of weather_severity_index
24,0,24,On Time,0,"Felixstowe, UK",None,0.77,5.22,0,-2,Standard Shipping,1,2024-09-29 00:00:00,9395,ORD-EF497BB3,"Mumbai, IN",Raw Materials,High,3,3.386,Suez,26,8314.58,Sea,5.7
24,0,24,On Time,0,"Felixstowe, UK",None,0.72,2.78,0,-1,Standard Shipping,1,2024-09-30 00:00:00,3697,ORD-DE4611B5,"Mumbai, IN",Consumer Electronics,Low,1,1.51,Suez,25,3179.42,Sea,1.8
25,0,24,On Time,0,"Felixstowe, UK",None,0.9,0.07,0,-2,Standard Shipping,1,2024-10-03 00:00:00,4948,ORD-2830E948,"Mumbai, IN",Semiconductors,Low,1,1.154,Suez,27,4700.6,Sea,2.1
24,0,24,On Time,0,"Felixstowe, UK",None,0.72,4.39,0,-1,Standard Shipping,1,2024-10-03 00:00:00,6536,ORD-3F2EC439,"Mumbai, IN",Raw Materials,Low,1,1.622,Suez,25,5620.96,Sea,1.2
24,0,24,On Time,0,"Felixstowe, UK",None,0.44,6.28,0,-3,Standard Shipping,1,2024-10-03 00:00:00,8026,ORD-9D114A04,"Mumbai, IN",Auto Parts,High,3,4.079,Suez,27,5778.72,Sea,7.5
24,0,24,On Time,0,"Felixstowe, UK",None,0.88,5.6,0,-3,Standard Shipping,1,2024-10-04 00:00:00,664,ORD-2A90BAEC,"Mumbai, IN",Perishable Foods,Medium,2,2.566,Suez,27,624.16,Sea,3
24,0,24,On Time,0,"Felixstowe, UK",None,0.26,3.46,0,-2,Standard Shipping,1,2024-10-06 00:00:00,3310,ORD-6CA33D18,"Mumbai, IN",Textiles,Low,1,1.404,Suez,26,2085.3,Sea,1.7
3,0,3,On Time,0,"Felixstowe, UK",None,0.28,0.37,0,-2,Standard Shipping,1,2024-10-08 00:00:00,5568,ORD-58CA97D6,"Mumbai, IN",Pharmaceuticals,High,3,3.595,Suez,5,39198.72,Air,9.7
25,0,24,On Time,0,"Felixstowe, UK",None,0.55,3.23,0,-1,Standard Shipping,1,2024-10-20 00:00:00,3697,ORD-D7D814C5,"Mumbai, IN",Auto Parts,Low,1,1.979,Suez,26,2865.18,Sea,3.1
24,0,24,On Time,0,"Felixstowe, UK",None,0.73,3.05,0,-3,Standard Shipping,1,2024-10-22 00:00:00,3924,ORD-C7B24333,"Mumbai, IN",Textiles,Low,1,1.884,Suez,27,3394.26,Sea,2.7
24,0,24,On Time,0,"Felixstowe, UK",None,0.54,6.42,0,-3,Standard Shipping,1,2024-10-22 00:00:00,2440,ORD-D380B655,"Mumbai, IN",Pharmaceuticals,High,3,4.607,Suez,27,1878.8,Sea,8.8
24,0,24,On Time,0,"Felixstowe, UK",None,0.23,5.39,0,-3,Standard Shipping,1,2024-11-01 00:00:00,9115,ORD-135364B3,"Mumbai, IN",Raw Materials,High,3,3.947,Suez,27,5605.73,Sea,7.9
24,0,24,On Time,0,"Felixstowe, UK",None,0.45,4.18,0,-3,Standard Shipping,1,2024-11-01 00:00:00,8243,ORD-C3E235FF,"Mumbai, IN",Consumer Electronics,High,3,3.734,Suez,27,5976.18,Sea,7.7
3,0,3,On Time,0,"Felixstowe, UK",None,0.61,1.84,0,-1,Standard Shipping,1,2024-11-03 00:00:00,4188,ORD-918987ED,"Mumbai, IN",Semiconductors,High,3,3.758,Suez,4,37084.74,Air,8.9
23,0,24,On Time,0,"Felixstowe, UK",None,0.84,5.48,0,-2,Standard Shipping,1,2024-11-09 00:00:00,526,ORD-92DB3A62,"Mumbai, IN",Perishable Foods,Medium,2,2.629,Suez,25,483.92,Sea,3.3
26,0,24,On Time,0,"Felixstowe, UK",None,0.44,4.14,0,-1,Standard Shipping,1,2024-11-09 00:00:00,362,ORD-AB9DC576,"Mumbai, IN",Raw Materials,Low,1,1.516,Suez,27,260.64,Sea,1.4
24,0,24,On Time,0,"Felixstowe, UK",None,0.69,4.67,0,-2,Standard Shipping,1,2024-11-09 00:00:00,3216,ORD-FC8D2DF0,"Mumbai, IN",Perishable Foods,High,3,4.22,Suez,26,2717.52,Sea,8.5
24,0,24,On Time,0,"Felixstowe, UK",None,0.15,4.27,0,-3,Standard Shipping,1,2024-11-10 00:00:00,2256,ORD-04ECB69E,"Mumbai, IN",Raw Materials,Low,1,1.657,Suez,27,1297.2,Sea,2.1
3,0,3,On Time,0,"Felixstowe, UK",None,0.9,1.04,0,-2,Standard Shipping,1,2024-11-14 00:00:00,9246,ORD-EA818DED,"Mumbai, IN",Semiconductors,Medium,2,2.083,Suez,5,96620.7,Air,4.2
24,0,24,On Time,0,"Felixstowe, UK",None,0.46,3.51,0,-2,Standard Shipping,1,2024-11-17 00:00:00,6433,ORD-0536089D,"Mumbai, IN",Auto Parts,Medium,2,2.484,Suez,26,4696.09,Sea,4.5
24,0,24,On Time,0,"Felixstowe, UK",None,0.19,5.15,0,-3,Standard Shipping,1,2024-11-21 00:00:00,4341,ORD-F31C00D1,"Mumbai, IN",Textiles,Medium,2,3.006,Suez,27,2582.89,Sea,5.4
3,0,3,On Time,0,"Felixstowe, UK",None,0.36,3.09,0,-1,Standard Shipping,1,2024-11-24 00:00:00,4493,ORD-7E67CCF3,"Mumbai, IN",Semiconductors,High,3,4.07,Suez,4,33607.64,Air,9.4
24,0,24,On Time,0,"Felixstowe, UK",None,0.11,2.33,0,-2,Standard Shipping,1,2024-11-24 00:00:00,6459,ORD-C9558938,"Mumbai, IN",Textiles,High,3,3.246,Suez,26,3584.75,Sea,7.8
24,0,24,On Time,0,"Felixstowe, UK",None,0.24,4.78,0,-3,Standard Shipping,1,2024-11-26 00:00:00,792,ORD-C9739809,"Mumbai, IN",Semiconductors,High,3,3.864,Suez,27,491.04,Sea,8
22,0,24,On Time,0,"Felixstowe, UK",None,0.32,4.2,0,-3,Standard Shipping,1,2024-11-28 00:00:00,8243,ORD-E02C24AB,"Mumbai, IN",Raw Materials,Low,1,1.299,Suez,25,5440.38,Sea,0.9
24,0,24,On Time,0,"Felixstowe, UK",None,0.56,3.51,0,-1,Standard Shipping,1,2024-11-29 00:00:00,1732,ORD-D873EEA5,"Mumbai, IN",Textiles,Low,1,1.129,Suez,25,1350.96,Sea,0.5
24,0,24,On Time,0,"Felixstowe, UK",None,0.86,2.78,0,-3,Standard Shipping,1,2024-12-01 00:00:00,4708,ORD-BD9FFE4C,"Mumbai, IN",Raw Materials,High,3,4.023,Suez,27,4378.44,Sea,8.8
24,0,24,On Time,0,"Felixstowe, UK",None,0.46,3.51,0,-3,Standard Shipping,1,2024-12-03 00:00:00,2721,ORD-EF32BFF5,"Mumbai, IN",Consumer Electronics,Low,1,1.679,Suez,27,1986.33,Sea,2.2
25,0,24,On Time,0,"Felixstowe, UK",None,0.22,1.13,0,-1,Standard Shipping,1,2024-12-07 00:00:00,6968,ORD-6803002A,"Mumbai, IN",Raw Materials,High,3,3.72,Suez,26,4250.48,Sea,9.7
24,0,24,On Time,0,"Felixstowe, UK",None,0.56,1.95,0,-3,Standard Shipping,1,2024-12-09 00:00:00,8161,ORD-DCC721CE,"Mumbai, IN",Consumer Electronics,Low,1,1.797,Suez,27,6365.58,Sea,3.3
3,0,3,On Time,0,"Felixstowe, UK",None,0.86,4.17,0,-3,Standard Shipping,1,2024-12-15 00:00:00,8595,ORD-DC4D98A0,"Mumbai, IN",Pharmaceuticals,High,3,4.196,Suez,6,87926.85,Air,8.5
24,0,24,On Time,0,"Felixstowe, UK",None,0.19,4.92,0,-3,Standard Shipping,1,2024-12-24 00:00:00,2172,ORD-15745702,"Mumbai, IN",Auto Parts,Medium,2,2.225,Suez,27,1292.34,Sea,3.3
24,0,24,On Time,0,"Felixstowe, UK",None,0.6,2.78,0,-3,Standard Shipping,1,2024-12-24 00:00:00,3752,ORD-3B495A0C,"Mumbai, IN",Auto Parts,Low,1,1.876,Suez,27,3001.6,Sea,3
25,0,24,On Time,0,"Felixstowe, UK",None,0.47,4.5,0,-1,Standard Shipping,1,2024-12-24 00:00:00,6872,ORD-B3049430,"Mumbai, IN",Perishable Foods,Medium,2,3.212,Suez,26,5050.92,Sea,6
24,0,24,On Time,0,"Felixstowe, UK",None,0.61,5.91,0,-2,Standard Shipping,1,2024-12-24 00:00:00,5484,ORD-E1A1736D,"Mumbai, IN",Textiles,High,3,4.572,Suez,26,4414.62,Sea,8.9
24,0,24,On Time,0,"Felixstowe, UK",None,0.79,4.97,0,-2,Standard Shipping,1,2024-12-24 00:00:00,8843,ORD-E3C4837C,"Mumbai, IN",Consumer Electronics,High,3,3.415,Suez,26,7914.49,Sea,5.9
24,0,24,On Time,0,"Felixstowe, UK",None,0.66,4.11,0,-3,Standard Shipping,1,2024-12-25 00:00:00,9936,ORD-179B6CFC,"Mumbai, IN",Consumer Electronics,Low,1,1.539,Suez,27,8246.88,Sea,1.2
23,0,24,On Time,0,"Felixstowe, UK",None,0.39,1.63,0,-3,Standard Shipping,1,2024-12-27 00:00:00,740,ORD-8C6DD4FD,"Mumbai, IN",Raw Materials,Medium,2,2.812,Suez,26,514.3,Sea,6.6
22,0,24,On Time,0,"Felixstowe, UK",None,0.32,1.82,0,-3,Standard Shipping,1,2024-12-27 00:00:00,8536,ORD-97D6336F,"Mumbai, IN",Textiles,Medium,2,2.713,Suez,25,5633.76,Sea,6.3
24,0,24,On Time,0,"Felixstowe, UK",None,0.81,6.54,0,-2,Standard Shipping,1,2024-12-28 00:00:00,1505,ORD-85919E93,"Mumbai, IN",Semiconductors,Medium,2,2.408,Suez,26,1362.03,Sea,2.1
23,0,24,On Time,0,"Felixstowe, UK",None,0.68,4.49,0,-4,Standard Shipping,1,2024-12-29 00:00:00,9875,ORD-86EA094B,"Mumbai, IN",Textiles,High,3,3.654,Suez,27,8295,Sea,7
24,0,24,On Time,0,"Felixstowe, UK",None,0.62,2.17,0,-2,Standard Shipping,1,2024-12-31 00:00:00,4957,ORD-73A90423,"Mumbai, IN",Textiles,Low,1,1.518,Suez,26,4015.17,Sea,2.3
24,0,24,On Time,0,"Felixstowe, UK",None,0.2,3.85,0,-3,Standard Shipping,1,2024-12-31 00:00:00,9758,ORD-90BA3552,"Mumbai, IN",Consumer Electronics,High,3,3.45,Suez,27,5854.8,Sea,7.4
3,0,3,On Time,0,"Felixstowe, UK",None,0.15,4.15,0,-1,Standard Shipping,1,2025-01-02 00:00:00,1318,ORD-DC11B3C5,"Mumbai, IN",Semiconductors,High,3,3.418,Suez,4,8336.35,Air,7.2
22,0,24,On Time,0,"Felixstowe, UK",None,0.87,3.88,0,-3,Standard Shipping,1,2025-01-03 00:00:00,8980,ORD-089FD212,"Mumbai, IN",Perishable Foods,High,3,3.233,Suez,25,8396.3,Sea,5.9
25,0,24,On Time,0,"Felixstowe, UK",None,0.11,3.44,0,-1,Standard Shipping,1,2025-01-03 00:00:00,615,ORD-8E8787DE,"Mumbai, IN",Auto Parts,Medium,2,2.103,Suez,26,341.33,Sea,3.9
25,0,24,On Time,0,"Felixstowe, UK",None,0.31,2.61,0,-1,Standard Shipping,1,2025-01-09 00:00:00,6073,ORD-B5F6DB3B,"Mumbai, IN",Consumer Electronics,Medium,2,2.412,Suez,26,3977.82,Sea,5
24,0,24,On Time,0,"Felixstowe, UK",None,0.17,3.65,0,-3,Standard Shipping,1,2025-01-12 00:00:00,7769,ORD-98953524,"Mumbai, IN",Consumer Electronics,Low,1,1.997,Suez,27,4544.86,Sea,3.4
24,0,24,On Time,0,"Felixstowe, UK",None,0.67,3.77,0,-3,Standard Shipping,1,2025-01-13 00:00:00,5223,ORD-E7AC4549,"Mumbai, IN",Raw Materials,High,3,3.506,Suez,27,4361.2,Sea,7
24,0,24,On Time,0,"Felixstowe, UK",None,0.51,5.79,0,-1,Standard Shipping,1,2025-01-14 00:00:00,252,ORD-C64DA13F,"Mumbai, IN",Pharmaceuticals,Medium,2,2.578,Suez,25,190.26,Sea,3.4
24,0,24,On Time,0,"Felixstowe, UK",None,0.22,4.96,0,-3,Standard Shipping,1,2025-01-19 00:00:00,6764,ORD-D81A3126,"Mumbai, IN",Auto Parts,Medium,2,2.211,Suez,27,4126.04,Sea,3.2
24,0,24,On Time,0,"Felixstowe, UK",None,0.29,3.55,0,-1,Standard Shipping,1,2025-01-21 00:00:00,2144,ORD-8D8ED89E,"Mumbai, IN",Textiles,Medium,2,2.101,Suez,25,1382.88,Sea,3.6
24,0,24,On Time,0,"Felixstowe, UK",None,0.65,6.18,0,-2,Standard Shipping,1,2025-01-25 00:00:00,8438,ORD-05657734,"Mumbai, IN",Auto Parts,High,3,4.224,Suez,26,6961.35,Sea,7.7
22,0,24,On Time,0,"Felixstowe, UK",None,0.11,1.98,0,-4,Standard Shipping,1,2025-02-02 00:00:00,7382,ORD-3BD67B9E,"Mumbai, IN",Raw Materials,Low,1,1.461,Suez,26,4097.01,Sea,2.9
24,0,24,On Time,0,"Felixstowe, UK",None,0.49,1.97,0,-3,Standard Shipping,1,2025-02-03 00:00:00,6832,ORD-16797416,"Mumbai, IN",Raw Materials,Medium,2,2.505,Suez,27,5089.84,Sea,5.4
24,0,24,On Time,0,"Felixstowe, UK",None,0.32,1.26,0,-3,Standard Shipping,1,2025-02-03 00:00:00,9136,ORD-67ECBD2D,"Mumbai, IN",Raw Materials,Low,1,1.481,Suez,27,6029.76,Sea,3.1
24,0,24,On Time,0,"Felixstowe, UK",None,0.23,2.91,0,-3,Standard Shipping,1,2025-02-04 00:00:00,1151,ORD-99479ADC,"Mumbai, IN",Textiles,Medium,2,2.681,Suez,27,707.87,Sea,5.7
24,0,24,On Time,0,"Felixstowe, UK",None,0.29,4.96,0,-2,Standard Shipping,1,2025-02-05 00:00:00,3017,ORD-D0AEFD06,"Mumbai, IN",Auto Parts,Low,1,1.683,Suez,26,1945.97,Sea,1.6
25,0,24,On Time,0,"Felixstowe, UK",None,0.32,4.66,0,-1,Standard Shipping,1,2025-02-07 00:00:00,9714,ORD-16697635,"Mumbai, IN",Raw Materials,Medium,2,2.581,Suez,26,6411.24,Sea,4.3
2,0,3,On Time,0,"Felixstowe, UK",None,0.63,5.19,0,-4,Standard Shipping,1,2025-02-08 00:00:00,7543,ORD-6B45CD87,"Mumbai, IN",Semiconductors,Medium,2,2.827,Suez,6,67622.99,Air,4.3
23,0,24,On Time,0,"Felixstowe, UK",None,0.11,6.1,0,-3,Standard Shipping,1,2025-02-10 00:00:00,8428,ORD-EB7FF4EF,"Mumbai, IN",Auto Parts,High,3,3.3,Suez,26,4677.54,Sea,5.8
25,0,24,On Time,0,"Felixstowe, UK",None,0.4,2.31,0,-1,Standard Shipping,1,2025-02-12 00:00:00,3803,ORD-8FA04771,"Mumbai, IN",Consumer Electronics,Medium,2,3.162,Suez,26,2662.1,Sea,7.2
24,0,24,On Time,0,"Felixstowe, UK",None,0.18,0.85,0,-3,Standard Shipping,1,2025-02-16 00:00:00,9150,ORD-EE65F762,"Mumbai, IN",Raw Materials,Low,1,1.196,Suez,27,5398.5,Sea,2.7
24,0,24,On Time,0,"Felixstowe, UK",None,0.79,1.32,0,-1,Standard Shipping,1,2025-02-24 00:00:00,5424,ORD-06E6AC81,"Mumbai, IN",Auto Parts,Medium,2,2.79,Suez,25,4854.48,Sea,6.2
24,0,24,On Time,0,"Felixstowe, UK",None,0.66,3.07,0,-1,Standard Shipping,1,2025-03-03 00:00:00,3785,ORD-4ED8AC76,"Mumbai, IN",Textiles,Low,1,1.366,Suez,25,3141.55,Sea,1.3
24,0,24,On Time,0,"Felixstowe, UK",None,0.58,3.8,0,-2,Standard Shipping,1,2025-03-04 00:00:00,1406,ORD-061F1C55,"Mumbai, IN",Textiles,High,3,4.171,Suez,26,1110.74,Sea,9
24,0,24,On Time,0,"Felixstowe, UK",None,0.63,4.39,0,-1,Standard Shipping,1,2025-03-04 00:00:00,4169,ORD-5587BB6F,"Mumbai, IN",Perishable Foods,High,3,3.822,Suez,25,3397.73,Sea,7.6
3,0,3,On Time,0,"Felixstowe, UK",None,0.33,3.93,0,-1,Standard Shipping,1,2025-03-04 00:00:00,3813,ORD-CBC4DD69,"Mumbai, IN",Pharmaceuticals,High,3,3.875,Suez,4,27892.1,Air,8.4
23,0,24,On Time,0,"Felixstowe, UK",None,0.51,2.78,0,-4,Standard Shipping,1,2025-03-06 00:00:00,9195,ORD-7CFD1921,"Mumbai, IN",Perishable Foods,Low,1,1.311,Suez,27,6942.23,Sea,1.5
24,0,24,On Time,0,"Felixstowe, UK",None,0.14,2.74,0,-2,Standard Shipping,1,2025-03-10 00:00:00,529,ORD-511E9875,"Mumbai, IN",Textiles,Medium,2,2.466,Suez,26,301.53,Sea,5.3
23,0,24,On Time,0,"Felixstowe, UK",None,0.77,4.91,0,-2,Standard Shipping,1,2025-03-10 00:00:00,4702,ORD-C62482CF,"Mumbai, IN",Perishable Foods,Low,1,1.329,Suez,25,4161.27,Sea,0
24,0,24,On Time,0,"Felixstowe, UK",None,0.23,4.46,0,-1,Standard Shipping,1,2025-03-11 00:00:00,3209,ORD-C2A9725D,"Mumbai, IN",Pharmaceuticals,Low,1,2.011,Suez,25,1973.54,Sea,2.9
25,0,24,On Time,0,"Felixstowe, UK",None,0.27,4.66,0,-1,Standard Shipping,1,2025-03-12 00:00:00,1793,ORD-065B7082,"Mumbai, IN",Auto Parts,Low,1,1.474,Suez,26,1138.56,Sea,1.2
24,0,24,On Time,0,"Felixstowe, UK",None,0.52,5.99,0,-3,Standard Shipping,1,2025-03-13 00:00:00,9990,ORD-9D27AB32,"Mumbai, IN",Consumer Electronics,High,3,3.952,Suez,27,7592.4,Sea,7.2
24,0,24,On Time,0,"Felixstowe, UK",None,0.59,3.68,0,-2,Standard Shipping,1,2025-03-14 00:00:00,3114,ORD-FB2EDEAC,"Mumbai, IN",Textiles,Medium,2,2.297,Suez,26,2475.63,Sea,3.7
24,0,24,On Time,0,"Felixstowe, UK",None,0.34,4.46,0,-2,Standard Shipping,1,2025-03-15 00:00:00,3529,ORD-ABE36C1C,"Mumbai, IN",Raw Materials,Medium,2,2.725,Suez,26,2364.43,Sea,4.8
23,0,24,On Time,0,"Felixstowe, UK",None,0.48,4.97,0,-4,Standard Shipping,1,2025-03-22 00:00:00,8095,ORD-3AD3C1B6,"Mumbai, IN",Textiles,Low,1,2.015,Suez,27,5990.3,Sea,2.3
23,0,24,On Time,0,"Felixstowe, UK",None,0.5,2.67,0,-2,Standard Shipping,1,2025-03-23 00:00:00,760,ORD-0953FB5A,"Mumbai, IN",Consumer Electronics,Medium,2,2.404,Suez,25,570,Sea,4.7
23,0,24,On Time,0,"Felixstowe, UK",None,0.75,4.66,0,-4,Standard Shipping,1,2025-03-25 00:00:00,1398,ORD-D8FCCEBE,"Mumbai, IN",Semiconductors,High,3,3.65,Suez,27,1223.25,Sea,6.8
24,0,24,On Time,0,"Felixstowe, UK",None,0.38,3.45,0,-1,Standard Shipping,1,2025-03-28 00:00:00,5313,ORD-53A531EE,"Mumbai, IN",Consumer Electronics,Low,1,1.001,Suez,25,3665.97,Sea,0.4
24,0,24,On Time,0,"Felixstowe, UK",None,0.65,3.98,0,-2,Standard Shipping,1,2025-03-29 00:00:00,7149,ORD-08CE7FF2,"Mumbai, IN",Consumer Electronics,High,3,3.364,Suez,26,5897.92,Sea,6.5
23,0,24,On Time,0,"Felixstowe, UK",None,0.14,2.69,0,-3,Standard Shipping,1,2025-03-31 00:00:00,6867,ORD-29874833,"Mumbai, IN",Pharmaceuticals,Medium,2,2.106,Suez,26,3914.19,Sea,4.3
2,0,3,On Time,0,"Felixstowe, UK",None,0.22,4.29,0,-3,Standard Shipping,1,2025-04-03 00:00:00,2897,ORD-586A6FD5,"Mumbai, IN",Semiconductors,Medium,2,2.777,Suez,5,19438.87,Air,5.2
22,0,24,On Time,0,"Felixstowe, UK",None,0.77,3.07,0,-4,Standard Shipping,1,2025-04-03 00:00:00,7911,ORD-E7D5E16C,"Mumbai, IN",Auto Parts,Low,1,1.661,Suez,26,7001.23,Sea,2
24,0,24,On Time,0,"Felixstowe, UK",None,0.19,1.22,0,-3,Standard Shipping,1,2025-04-06 00:00:00,9133,ORD-8D2CBC03,"Mumbai, IN",Auto Parts,Low,1,0.96,Suez,27,5434.13,Sea,1.8
24,0,24,On Time,0,"Felixstowe, UK",None,0.49,3.63,0,-1,Standard Shipping,1,2025-04-09 00:00:00,7133,ORD-7EE58CD9,"Mumbai, IN",Textiles,Medium,2,2.872,Suez,25,5314.09,Sea,5.5
4,0,3,On Time,0,"Felixstowe, UK",None,0.77,3.48,0,0,Standard Shipping,1,2025-04-10 00:00:00,5934,ORD-589E3FCF,"Mumbai, IN",Pharmaceuticals,Medium,2,2.443,Suez,4,57767.49,Air,4
25,0,24,On Time,0,"Felixstowe, UK",None,0.45,4.25,0,-2,Standard Shipping,1,2025-04-12 00:00:00,6557,ORD-6A808A4B,"Mumbai, IN",Textiles,High,3,3.293,Suez,27,4753.82,Sea,6.4
24,0,24,On Time,0,"Felixstowe, UK",None,0.2,7.01,0,-3,Standard Shipping,1,2025-04-19 00:00:00,6820,ORD-60D8DDF7,"Mumbai, IN",Consumer Electronics,High,3,4.047,Suez,27,4092,Sea,7.3
24,0,24,On Time,0,"Felixstowe, UK",None,0.45,5.44,0,-1,Standard Shipping,1,2025-04-25 00:00:00,5159,ORD-D3BF0DCE,"Mumbai, IN",Consumer Electronics,Low,1,1.816,Suez,25,3740.28,Sea,1.5
3,0,3,On Time,0,"Felixstowe, UK",None,0.42,1.98,0,-1,Standard Shipping,1,2025-04-26 00:00:00,4500,ORD-1837575C,"Mumbai, IN",Pharmaceuticals,Low,1,1.565,Suez,4,35145,Air,2.8
3,0,3,On Time,0,"Felixstowe, UK",None,0.25,3.92,0,-3,Standard Shipping,1,2025-04-30 00:00:00,676,ORD-0AD9E1C8,"Mumbai, IN",Pharmaceuticals,Low,1,1.842,Suez,6,4647.5,Air,2.7
25,0,24,On Time,0,"Felixstowe, UK",None,0.88,3.4,0,-2,Standard Shipping,1,2025-05-01 00:00:00,7819,ORD-B1179A92,"Mumbai, IN",Consumer Electronics,High,3,4.296,Suez,27,7349.86,Sea,9.2
24,0,24,On Time,0,"Felixstowe, UK",None,0.18,2.57,0,-1,Standard Shipping,1,2025-05-01 00:00:00,5995,ORD-CB29DA72,"Mumbai, IN",Textiles,Low,1,1.085,Suez,25,3537.05,Sea,1.4
3,0,3,On Time,0,"Felixstowe, UK",None,0.61,2.76,0,-3,Standard Shipping,1,2025-05-03 00:00:00,9205,ORD-8C5158D2,"Mumbai, IN",Pharmaceuticals,High,3,3.627,Suez,6,81510.27,Air,8
3,0,3,On Time,0,"Felixstowe, UK",None,0.2,2.34,0,-3,Standard Shipping,1,2025-05-05 00:00:00,5276,ORD-1287BB3B,"Mumbai, IN",Pharmaceuticals,High,3,3.743,Suez,6,34821.6,Air,9.1
3,0,3,On Time,0,"Felixstowe, UK",None,0.25,2.75,0,-2,Standard Shipping,1,2025-05-05 00:00:00,9696,ORD-66CCF529,"Mumbai, IN",Semiconductors,High,3,3.498,Suez,5,66660,Air,8.1
23,0,24,On Time,0,"Felixstowe, UK",None,0.23,2.62,0,-4,Standard Shipping,1,2025-05-06 00:00:00,7304,ORD-454D11C9,"Mumbai, IN",Raw Materials,Medium,2,2.448,Suez,27,4491.96,Sea,5.2
23,0,24,On Time,0,"Felixstowe, UK",None,0.51,3.46,0,-3,Standard Shipping,1,2025-05-06 00:00:00,1672,ORD-F72C59FC,"Mumbai, IN",Perishable Foods,Medium,2,3.127,Suez,26,1262.36,Sea,6.3
23,0,24,On Time,0,"Felixstowe, UK",None,0.61,3.65,0,-4,Standard Shipping,1,2025-05-07 00:00:00,734,ORD-825D393B,"Mumbai, IN",Auto Parts,High,3,3.945,Suez,27,590.87,Sea,8.4
24,0,24,On Time,0,"Felixstowe, UK",None,0.44,3,0,-3,Standard Shipping,1,2025-05-09 00:00:00,699,ORD-35B5F538,"Mumbai, IN",Auto Parts,Medium,2,2.548,Suez,27,503.28,Sea,5
24,0,24,On Time,0,"Felixstowe, UK",None,0.83,1.63,0,-1,Standard Shipping,1,2025-05-09 00:00:00,7512,ORD-76270384,"Mumbai, IN",Perishable Foods,High,3,3.255,Suez,25,6873.48,Sea,7.3
24,0,24,On Time,0,"Felixstowe, UK",None,0.81,2.45,0,-2,Standard Shipping,1,2025-05-12 00:00:00,8318,ORD-EDC70A82,"Mumbai, IN",Consumer Electronics,Low,1,0.925,Suez,26,7527.79,Sea,0.2
3,0,3,On Time,0,"Felixstowe, UK",None,0.44,1.32,0,-1,Standard Shipping,1,2025-05-14 00:00:00,1160,ORD-0108A185,"Mumbai, IN",Semiconductors,Low,1,1.687,Suez,4,9187.2,Air,3.5
23,0,24,On Time,0,"Felixstowe, UK",None,0.5,3.08,0,-2,Standard Shipping,1,2025-05-15 00:00:00,9215,ORD-20585EF4,"Mumbai, IN",Semiconductors,High,3,3.991,Suez,25,6911.25,Sea,9
4,0,3,On Time,0,"Felixstowe, UK",None,0.1,4.67,0,-2,Standard Shipping,1,2025-05-19 00:00:00,9792,ORD-07A8D45C,"Mumbai, IN",Pharmaceuticals,Low,1,1.049,Suez,6,59241.6,Air,0.2
24,0,24,On Time,0,"Felixstowe, UK",None,0.29,4.44,0,-3,Standard Shipping,1,2025-05-19 00:00:00,9941,ORD-54071318,"Mumbai, IN",Perishable Foods,High,3,3.294,Suez,27,6411.95,Sea,6.5
3,0,3,On Time,0,"Felixstowe, UK",None,0.52,1.56,0,-2,Standard Shipping,1,2025-05-21 00:00:00,7699,ORD-CB89324A,"Mumbai, IN",Pharmaceuticals,Low,1,1.211,Suez,5,64363.64,Air,1.9
24,0,24,On Time,0,"Felixstowe, UK",None,0.72,2.98,0,-1,Standard Shipping,1,2025-05-21 00:00:00,9131,ORD-D5AC773C,"Mumbai, IN",Pharmaceuticals,High,3,3.335,Suez,25,7852.66,Sea,6.9
23,0,24,On Time,0,"Felixstowe, UK",None,0.11,0.92,0,-4,Standard Shipping,1,2025-05-23 00:00:00,5969,ORD-E1BDFA1C,"Mumbai, IN",Consumer Electronics,High,3,3.454,Suez,27,3312.8,Sea,9.2
25,0,24,On Time,0,"Felixstowe, UK",None,0.42,5.55,0,-2,Standard Shipping,1,2025-05-29 00:00:00,6811,ORD-B3836144,"Mumbai, IN",Auto Parts,Low,1,1.509,Suez,27,4835.81,Sea,0.6
24,0,24,On Time,0,"Felixstowe, UK",None,0.33,2.73,0,-1,Standard Shipping,1,2025-06-05 00:00:00,2089,ORD-DDE4AC02,"Mumbai, IN",Textiles,Low,1,1.64,Suez,25,1389.19,Sea,2.7
24,0,24,On Time,0,"Felixstowe, UK",None,0.67,4.75,0,-1,Standard Shipping,1,2025-06-07 00:00:00,298,ORD-02BD3B22,"Mumbai, IN",Auto Parts,High,3,3.527,Suez,25,248.83,Sea,6.5
25,0,24,On Time,0,"Felixstowe, UK",None,0.27,2.81,0,0,Standard Shipping,1,2025-06-11 00:00:00,5774,ORD-DB0CB6CE,"Mumbai, IN",Semiconductors,High,3,3.764,Suez,25,3666.49,Sea,8.8
24,0,24,On Time,0,"Felixstowe, UK",None,0.8,0.95,0,-1,Standard Shipping,1,2025-06-14 00:00:00,3519,ORD-D6068D37,"Mumbai, IN",Textiles,Low,1,1.81,Suez,25,3167.1,Sea,3.6
